Side,Type,Pivot1_Index,Pivot2_Index,Pivot1_Date,Pivot2_Date,TPYc_Date,TPY_Confirmed_Date,RSI_P1,RSI_P2,Price_P1,Price_P2,Confirm_Gap_minus1
Bearish,Regular,114,125,20/06/2000,05/07/2000,05/07/2000,12/07/2000,67.42666070699751,64.55153563450209,1518.05,1530.9,10
Bearish,Regular,267,281,25/01/2001,15/02/2001,15/02/2001,22/02/2001,69.63760636043196,66.62537944753686,1374.2,1421,13
Bearish,Regular,531,537,18/02/2002,26/02/2002,26/02/2002,05/03/2002,76.38495481838275,72.82604588516381,1177.05,1192.65,5
Bearish,Regular,537,544,26/02/2002,07/03/2002,07/03/2002,14/03/2002,72.82604588516381,64.07615245,1192.65,1195.2,6
Bearish,Regular,727,736,02/12/2002,13/12/2002,13/12/2002,20/12/2002,83.16365005093485,72.51998207293346,1070.15,1087.35,8
Bearish,Regular,736,745,13/12/2002,27/12/2002,27/12/2002,03/01/2003,72.51998207293346,71.45160213738414,1087.35,1103.95,8
Bearish,Regular,873,880,03/07/2003,14/07/2003,14/07/2003,21/07/2003,80.52779018972087,80.26702666864182,1150.75,1173.95,6
Bearish,Regular,880,895,14/07/2003,04/08/2003,04/08/2003,11/08/2003,80.26702666864182,72.28893423080838,1173.95,1206.1,14
Bearish,Regular,908,915,22/08/2003,02/09/2003,02/09/2003,09/09/2003,81.10718743626781,79.37160323899968,1319.45,1388.95,6
Bearish,Regular,915,943,02/09/2003,13/10/2003,13/10/2003,20/10/2003,79.37160323899968,77.42926937866712,1388.95,1550.9,27
Bearish,Regular,943,959,13/10/2003,04/11/2003,04/11/2003,11/11/2003,77.42926937866712,70.99956157001492,1550.9,1626.4,15
Bearish,Regular,959,980,04/11/2003,04/12/2003,04/12/2003,11/12/2003,70.99956157001492,70.28560794921557,1626.4,1683.75,20
Bearish,Regular,1068,1075,13/04/2004,23/04/2004,23/04/2004,03/05/2004,63.09972075921941,62.84246995625013,1885.15,1912.35,6
Bearish,Regular,1182,1191,22/09/2004,05/10/2004,05/10/2004,12/10/2004,78.52529407069606,76.10748107791382,1760.8,1816.55,8
Bearish,Regular,1191,1220,05/10/2004,18/11/2004,18/11/2004,25/11/2004,76.10748107791382,72.83861605578245,1816.55,1895.3,28
Bearish,Regular,1229,1239,02/12/2004,16/12/2004,16/12/2004,23/12/2004,82.70851186291912,76.18819963,2001.55,2039.2,9
Bearish,Regular,1372,1399,27/06/2005,04/08/2005,04/08/2005,11/08/2005,77.91015277077297,77.24808460513748,2219.6499,2377.3501,26
Bearish,Regular,1399,1407,04/08/2005,17/08/2005,17/08/2005,24/08/2005,77.24808460513748,70.65414372064686,2377.3501,2406.25,7
Bearish,Regular,1430,1440,20/09/2005,04/10/2005,04/10/2005,11/10/2005,81.61173649805656,74.22979197995394,2582.8,2667.05,9
Bearish,Regular,1440,1475,04/10/2005,28/11/2005,28/11/2005,05/12/2005,74.22979197995394,71.96835013861144,2667.05,2717.1499,34
Bearish,Regular,1486,1504,13/12/2005,06/01/2006,06/01/2006,16/01/2006,73.23081485594685,69.90985598,2815.3,2921.7,17
Bearish,Regular,1519,1527,31/01/2006,13/02/2006,13/02/2006,20/02/2006,70.88258533722558,68.50251035,3005.1001,3042.75,7
Bearish,Regular,1563,1571,05/04/2006,20/04/2006,20/04/2006,27/04/2006,83.98811487711666,70.77260751,3513.95,3578.3501,7
Bearish,Regular,1666,1679,04/09/2006,21/09/2006,21/09/2006,28/09/2006,73.56388769621694,67.78816315127241,3483.1001,3556.3501,12
Bearish,Regular,1720,1730,22/11/2006,06/12/2006,06/12/2006,13/12/2006,78.01620181330745,75.25890230611515,3960,4015.95,9
Bearish,Regular,1730,1748,06/12/2006,03/01/2007,03/01/2007,10/01/2007,75.25890230611515,62.581036367336736,4015.95,4029.8,17
Bearish,Regular,1934,1952,03/10/2007,29/10/2007,29/10/2007,05/11/2007,87.05230680522011,72.65295211,5261.3501,5922.5,17
Bearish,Regular,1952,1964,29/10/2007,14/11/2007,14/11/2007,21/11/2007,72.65295211,65.57212859943395,5922.5,5950.2002,11
Bearish,Regular,1984,2001,12/12/2007,08/01/2008,08/01/2008,15/01/2008,69.46985212257982,69.37048083777296,6175.6499,6357.1001,16
Bearish,Regular,2307,2319,15/04/2009,05/05/2009,05/05/2009,12/05/2009,79.44248302736169,72.42019030621117,3497.55,3682.2,11
Bearish,Regular,2328,2342,18/05/2009,05/06/2009,05/06/2009,12/06/2009,79.51356937338593,77.04773769833997,4384.2998,4636.8501,13
Bearish,Regular,2418,2433,22/09/2009,16/10/2009,16/10/2009,26/10/2009,73.61937896995553,66.92599445630924,5036.2998,5149.6499,14
Bearish,Regular,2457,2465,23/11/2009,03/12/2009,03/12/2009,10/12/2009,60.69742245608209,59.392313481979116,5113.1001,5181,7
Bearish,Regular,2535,2546,19/03/2010,07/04/2010,07/04/2010,15/04/2010,73.07746208279617,71.93183632905124,5269.9502,5399.6499,10
Bearish,Regular,2598,2614,21/06/2010,13/07/2010,13/07/2010,20/07/2010,65.91318522805835,62.860975875211274,5366.75,5406.2002,15
Bearish,Regular,2622,2633,23/07/2010,09/08/2010,09/08/2010,16/08/2010,65.07914911,63.00628346284183,5477.5,5492.2998,10
Bearish,Regular,2663,2672,21/09/2010,04/10/2010,04/10/2010,11/10/2010,82.07048347,79.34765448583642,6032.7998,6222.1001,8
Bearish,Regular,2672,2696,04/10/2010,05/11/2010,05/11/2010,12/11/2010,79.34765448583642,67.76154707384646,6222.1001,6338.5,23
Bearish,Regular,3093,3099,13/06/2012,21/06/2012,21/06/2012,28/06/2012,60.95370386190307,60.408027208844466,5144.8999,5170.3999,5
Bearish,Regular,3232,3239,04/01/2013,15/01/2013,15/01/2013,22/01/2013,68.46260977,67.24510525120812,6020.75,6068.5,6
Bearish,Regular,3317,3331,10/05/2013,30/05/2013,30/05/2013,06/06/2013,69.66713604,59.56034058337352,6105.2998,6133.75,13
Bearish,Regular,3408,3428,19/09/2013,21/10/2013,21/10/2013,28/10/2013,69.04726798635316,67.80274324,6142.5,6218.9502,19
Bearish,Regular,3540,3552,02/04/2014,23/04/2014,23/04/2014,02/05/2014,80.56786899071069,69.68312960959527,6763.5,6861.6001,11
Bearish,Regular,3572,3584,23/05/2014,10/06/2014,10/06/2014,17/06/2014,82.19163357,80.65161500084453,7381,7683.2002,11
Bearish,Regular,3584,3603,10/06/2014,07/07/2014,07/07/2014,14/07/2014,80.65161500084453,70.59735481481893,7683.2002,7792,18
Bearish,Regular,3603,3616,07/07/2014,24/07/2014,24/07/2014,01/08/2014,70.59735481481893,67.20776973099626,7792,7835.6499,12
Bearish,Regular,4024,4030,23/03/2016,04/04/2016,04/04/2016,11/04/2016,67.01113224,64.59474837781221,7726.8501,7764.4502,5
Bearish,Regular,4099,4106,14/07/2016,25/07/2016,25/07/2016,01/08/2016,72.46945873611307,70.06854798417231,8571.4004,8641.1504,6
Bearish,Regular,4106,4116,25/07/2016,08/08/2016,08/08/2016,16/08/2016,70.06854798417231,66.80488171826195,8641.1504,8723.5,9
Bearish,Regular,4238,4251,06/02/2017,23/02/2017,23/02/2017,03/03/2017,75.18201815826609,74.90607081,8814.0996,8982.1504,12
Bearish,Regular,4265,4277,17/03/2017,05/04/2017,05/04/2017,12/04/2017,77.24025701419635,71.85323328254319,9218.4004,9273.9004,11
Bearish,Regular,4277,4291,05/04/2017,26/04/2017,26/04/2017,04/05/2017,71.85323328254319,69.20218536309424,9273.9004,9367,13
Bearish,Regular,4305,4318,17/05/2017,05/06/2017,05/06/2017,12/06/2017,72.67513546269836,72.22164552,9532.5996,9687.2002,12
Bearish,Regular,4542,4551,30/04/2018,14/05/2018,14/05/2018,21/05/2018,69.96593210041861,67.48643465275089,10759,10834.85,8
Bearish,Regular,4551,4573,14/05/2018,13/06/2018,13/06/2018,20/06/2018,67.48643465275089,63.03833978295792,10834.85,10893.25,21
Bearish,Regular,4607,4614,31/07/2018,09/08/2018,09/08/2018,17/08/2018,76.74077681551874,74.48246296,11366,11495.2,6
Bearish,Regular,4688,4700,03/12/2018,19/12/2018,19/12/2018,27/12/2018,62.54031348334305,61.900643763742536,10941.2,10985.15,11
Bearish,Regular,4762,4771,19/03/2019,02/04/2019,02/04/2019,09/04/2019,79.50946805,74.50888323972828,11543.85,11729.35,8
Bearish,Regular,4771,4781,02/04/2019,16/04/2019,16/04/2019,25/04/2019,74.50888323972828,68.43919612835532,11729.35,11810.95,9
Bearish,Regular,4781,4811,16/04/2019,03/06/2019,03/06/2019,11/06/2019,68.43919612835532,66.45482697465445,11810.95,12103.05,29
Bearish,Regular,4916,4930,07/11/2019,28/11/2019,28/11/2019,05/12/2019,72.52647755,68.78465281175238,12021.4,12158.8,13
Bearish,Regular,4930,4946,28/11/2019,20/12/2019,20/12/2019,30/12/2019,68.78465281175238,67.44675579,12158.8,12293.9,15
Bearish,Regular,4946,4962,20/12/2019,14/01/2020,14/01/2020,21/01/2020,67.44675579,61.73121606947609,12293.9,12374.25,15
Bearish,Regular,5092,5105,23/07/2020,11/08/2020,11/08/2020,18/08/2020,72.90549791496156,65.83875476645343,11239.8,11373.6,12
Bearish,Regular,5214,5235,14/01/2021,15/02/2021,15/02/2021,22/02/2021,81.46951875405566,71.44867952033738,14617.8,15340.15,20
Bearish,Regular,5309,5315,07/06/2021,15/06/2021,15/06/2021,22/06/2021,72.12314116635612,71.68560431598058,15773.45,15901.6,5
Bearish,Regular,5323,5331,25/06/2021,07/07/2021,07/07/2021,14/07/2021,65.14277967607512,62.89731442026353,15870.8,15893.55,7
Bearish,Regular,5331,5337,07/07/2021,15/07/2021,15/07/2021,23/07/2021,62.89731442026353,62.44933768143433,15893.55,15952.35,5
Bearish,Regular,5379,5386,16/09/2021,27/09/2021,27/09/2021,04/10/2021,85.59870509459735,77.92907224277216,17644.6,17943.5,6
Bearish,Regular,5386,5400,27/09/2021,18/10/2021,18/10/2021,25/10/2021,77.92907224277216,77.69536251983308,17943.5,18543.15,13
Bearish,Regular,5608,5625,18/08/2022,13/09/2022,13/09/2022,20/09/2022,83.83553231086172,67.92830397406927,17968.449,18088.301,16
Bearish,Regular,5658,5668,01/11/2022,16/11/2022,16/11/2022,23/11/2022,69.03068342268026,68.89694797612782,18175.801,18442.15,9
Bearish,Regular,5782,5789,04/05/2023,15/05/2023,15/05/2023,22/05/2023,73.73996291143611,71.30833973267406,18267.449,18458.9,6
Bearish,Regular,5789,5800,15/05/2023,30/05/2023,30/05/2023,06/06/2023,71.30833973267406,71.16143358240876,18458.9,18662.449,10
Bearish,Regular,5800,5806,30/05/2023,07/06/2023,07/06/2023,14/06/2023,71.16143358240876,70.21993660257937,18662.449,18738.949,5
Bearish,Regular,5806,5813,07/06/2023,16/06/2023,16/06/2023,23/06/2023,70.21993660257937,67.18285009603045,18738.949,18864.699,6
Bearish,Regular,5937,5945,15/12/2023,28/12/2023,28/12/2023,04/01/2024,84.91845676050801,78.51883106823345,21492.301,21801.449,7
Bearish,Regular,5945,5957,28/12/2023,15/01/2024,15/01/2024,20/01/2024,78.51883106823345,73.87525803267393,21801.449,22115.551,11
Bearish,Regular,6044,6051,23/05/2024,03/06/2024,03/06/2024,10/06/2024,68.23233998895758,67.26949419,22993.6,23338.699,6
Bearish,Regular,6082,6092,18/07/2024,01/08/2024,01/08/2024,08/08/2024,77.48814255354107,73.50415684577982,24837.75,25078.301,9
Bearish,Regular,6092,6114,01/08/2024,03/09/2024,03/09/2024,10/09/2024,73.50415684577982,70.02418834,25078.301,25321.699,21
Bearish,Regular,6254,6271,25/03/2025,23/04/2025,23/04/2025,30/04/2025,71.64777900134348,67.69719783289642,23869.6,24359.3,16
Bearish,Regular,6283,6305,12/05/2025,11/06/2025,11/06/2025,18/06/2025,67.69894802240489,62.54167023663018,24944.8,25222.4,21
Bearish,Regular,6397,6416,23/10/2025,20/11/2025,20/11/2025,27/11/2025,72.68753418762225,67.66110980367404,26104.2,26246.65,18
Bullish,Regular,62,75,04/04/2000,25/04/2000,25/04/2000,03/05/2000,28.691489801191423,32.338323173073306,1420.85,1311.3,12
Bullish,Regular,138,148,24/07/2000,07/08/2000,07/08/2000,14/08/2000,25.840125815226287,31.305033945733072,1310.85,1299.9,9
Bullish,Regular,298,319,13/03/2001,12/04/2001,12/04/2001,20/04/2001,23.402352495480997,25.214418144785327,1098.75,1001.8,20
Bullish,Regular,364,379,18/06/2001,09/07/2001,09/07/2001,16/07/2001,30.39228999273736,34.663577039207425,1064.4,1052.1,14
Bullish,Regular,596,602,23/05/2002,31/05/2002,31/05/2002,07/06/2002,24.39233124862193,33.686979759429065,1024.3,1020.1,5
Bullish,Regular,799,808,17/03/2003,31/03/2003,31/03/2003,07/04/2003,28.399008653902825,31.417586295272258,982.70001,974.09998,8
Bullish,Regular,1014,1020,22/01/2004,03/02/2004,03/02/2004,10/02/2004,39.044066054240574,41.22145871501204,1756.25,1755.65,5
Bullish,Regular,1323,1331,19/04/2005,29/04/2005,29/04/2005,06/05/2005,28.358567073078845,33.00354767321491,1902.8,1896.3,7
Bullish,Regular,2119,2130,01/07/2008,16/07/2008,16/07/2008,23/07/2008,23.928659071408433,32.653864388275096,3878.2,3790.2,10
Bullish,Regular,2818,2832,05/05/2011,25/05/2011,25/05/2011,01/06/2011,32.47442869095947,34.08338482914267,5443.6499,5328.7002,13
Bullish,Regular,2955,2973,23/11/2011,20/12/2011,20/12/2011,27/12/2011,28.50910303892138,30.615741288680226,4640.9502,4531.1499,17
Bullish,Regular,3073,3085,16/05/2012,01/06/2012,01/06/2012,08/06/2012,28.359532368771468,35.65736639694052,4837.0498,4831.75,11
Bullish,Regular,3271,3288,28/02/2013,25/03/2013,25/03/2013,03/04/2013,27.20086459307528,32.535261567644454,5671.8999,5624.3999,16
Bullish,Regular,3341,3348,13/06/2013,24/06/2013,24/06/2013,01/07/2013,30.04723171051407,31.01908927717315,5683.1001,5566.25,6
Bullish,Regular,3380,3388,07/08/2013,21/08/2013,21/08/2013,28/08/2013,28.192265054664986,28.250572086358318,5486.8501,5268.4502,7
Bullish,Regular,3779,3797,27/03/2015,27/04/2015,27/04/2015,05/05/2015,30.044801077257148,30.404120744647443,8269.1504,8202.3496,17
Bullish,Regular,3797,3827,27/04/2015,09/06/2015,09/06/2015,16/06/2015,30.404120744647443,34.06773744,8202.3496,8005.1499,29
Bullish,Regular,3881,3891,24/08/2015,07/09/2015,07/09/2015,14/09/2015,24.51942002,29.378802485113894,7769.3999,7545.8999,9
Bullish,Regular,3933,3952,10/11/2015,09/12/2015,09/12/2015,16/12/2015,28.797954732691693,29.482307360288743,7772.8501,7606.8999,18
Bullish,Regular,4184,4209,21/11/2016,26/12/2016,26/12/2016,02/01/2017,22.88246881900676,32.16777127434574,7916.3999,7893.7998,24
Bullish,Regular,4488,4496,07/02/2018,20/02/2018,20/02/2018,27/02/2018,35.02475787683676,35.44776017901326,10446.4,10347.65,7
Bullish,Regular,4506,4518,07/03/2018,23/03/2018,23/03/2018,03/04/2018,30.924732686320624,32.107701467529125,10141.55,9951.9004,11
Bullish,Regular,4650,4664,05/10/2018,26/10/2018,26/10/2018,02/11/2018,21.542424847208707,30.192769920033555,10261.9,10004.55,13
Bullish,Regular,4855,4866,05/08/2019,22/08/2019,22/08/2019,29/08/2019,23.02212034681179,31.777778094812803,10782.6,10718.3,10
Bullish,Regular,5003,5045,12/03/2020,18/05/2020,18/05/2020,26/05/2020,13.046488334799818,41.27941769458311,9508,8806.75,41
Bullish,Regular,5262,5272,25/03/2021,12/04/2021,12/04/2021,20/04/2021,38.26271876539121,40.34517551226911,14264.4,14248.7,9
Bullish,Regular,5429,5443,30/11/2021,20/12/2021,20/12/2021,27/12/2021,31.003555774559302,32.22110888504962,16931.4,16410.199,13
Bullish,Regular,5468,5482,24/01/2022,14/02/2022,14/02/2022,21/02/2022,36.56712386888978,37.32528618665689,16997.85,16809.65,13
Bullish,Regular,5490,5496,24/02/2022,07/03/2022,07/03/2022,14/03/2022,30.20424856333203,30.472908801925342,16203.25,15711.45,5
Bullish,Regular,5541,5566,13/05/2022,17/06/2022,17/06/2022,24/06/2022,26.87412702832863,28.364695210536738,15740.85,15183.4,24
Bullish,Regular,5741,5751,28/02/2023,15/03/2023,15/03/2023,22/03/2023,30.602883143070144,31.400918492098782,17255.199,16938.9,9
Bullish,Regular,6034,6052,09/05/2024,04/06/2024,04/06/2024,11/06/2024,37.91549164,39.78350454082792,21932.4,21281.449,17
Bullish,Regular,6151,6157,25/10/2024,04/11/2024,04/11/2024,11/11/2024,28.612789738125002,31.581096435341024,24073.9,23816.15,5
Bullish,Regular,6189,6195,20/12/2024,31/12/2024,31/12/2024,07/01/2025,34.08404711710328,37.40141108975924,23537.35,23460.45,5
Bullish,Regular,6204,6214,13/01/2025,27/01/2025,27/01/2025,01/02/2025,32.1993718,33.76720312619898,23047.25,22786.9,9
